"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0,0,0,0,0,0
"Macroeconomic","va",0,0,-0.01,0,0,0
"Macroeconomic","go",0.01,0.01,0.01,0,0,0
"Macroeconomic","id",0,0.01,0.02,0,0,0
"Macroeconomic","gdef",-2.77,-6.82,-42.11,-5.12,12.65,9.66
"Macroeconomic","cab",-0.1,-0.1,-0.21,-0.1,-0.1,-0.21
"Macroeconomic","tb",-0.06,-0.11,-0.12,-0.06,-0.11,-0.12
"Social","n",0,0,-0.01,0,0,0
"Social","nf",0,0,-0.01,0,0,0
"Social","shp",-0.01,-0.03,-0.04,0,0,0
"Social","shw",0,0.02,0.03,0,0,0
"Debt.and.Wealth","lh",0,0,0,0,0,0
"Debt.and.Wealth","lf",0.06,-0.01,0.07,0,0,0
"Debt.and.Wealth","v",0,-0.01,-0.02,0,0,0
"Debt.and.Wealth","k",0,0,0.02,0,0,0
"Debt.and.Wealth","b_s",0,0,-0.01,0,0,-0.01
"Ecological","x_mat",-0.09,-0.17,-0.18,0,0.01,0.01
"Ecological","land",0.01,0.02,0.03,0,0,0
"Ecological","mat",-0.08,-0.16,-0.17,0.01,0.02,0.02
"Ecological","rec",-0.1,-0.18,-0.2,0,-0.01,-0.01
"Ecological","emis",0.01,0.02,0.03,0,0,0
"Ecological","wa",0,0.01,0.01,0,0,0
"Ecological","water",0.01,0.02,0.03,0,0,0
