"Name","Variable","Immediate.Z1","Short.Term.Z1","Long.Term.Z1","Immediate.Z2","Short.Term.Z2","Long.Term.Z2"
"Macroeconomic","c",0,-0.01,-0.02,0,0,0
"Macroeconomic","va",0,-0.01,-0.02,0,0,0
"Macroeconomic","go",0,-0.01,-0.01,0,0,0.01
"Macroeconomic","id",0,-0.01,-0.01,0,0,0.01
"Macroeconomic","gdef",-0.36,-1,-1.43,-0.2,-0.77,-1.38
"Macroeconomic","cab",-0.12,-0.33,-0.55,-0.12,-0.33,-0.55
"Macroeconomic","tb",-0.07,-0.2,-0.27,-0.07,-0.2,-0.27
"Social","n",0,-0.01,-0.01,0,0,0.01
"Social","nf",0,-0.01,-0.01,0,0,0.01
"Social","shp",0,0.01,0.01,0,0,0
"Social","shw",0,-0.01,-0.01,0,0,0
"Debt.and.Wealth","lh",0,0,0,0,0,0
"Debt.and.Wealth","lf",0,-0.02,-0.04,0,0,0.01
"Debt.and.Wealth","v",0,0,-0.01,0,0,0
"Debt.and.Wealth","k",0,0,-0.01,0,0,0
"Debt.and.Wealth","b_s",0,0.02,0.09,0,0,-0.02
"Ecological","x_mat",-0.01,-0.02,-0.03,0,0,0
"Ecological","land",-0.01,-0.02,-0.04,0,0,0.01
"Ecological","mat",0,0.01,0.01,0,0.01,0.01
"Ecological","rec",-0.02,-0.07,-0.1,0,-0.01,-0.01
"Ecological","emis",-0.01,-0.02,-0.04,0,0,0.01
"Ecological","wa",0,-0.01,-0.01,0,0,0.01
"Ecological","water",-0.01,-0.02,-0.04,0,0,0.01
